Date,Description,Amount,Category,Card,Flow
01/15/2024,Starbucks Coffee,5.50,Dining Out,Apple Card,Expense
01/16/2024,Whole Foods Market,85.32,Groceries,Chase Visa,Expense
01/17/2024,Direct Deposit,3500.00,Salary,Checking Account,Income
01/20/2024,Gym Membership,49.99,Health & Fitness,Apple Card,Expense
01/22/2024,Amazon Purchase,32.15,Shopping,Capital One,Expense
01/25/2024,Shell Gas Station,42.00,Gas & Fuel,Chase Visa,Expense
01/28/2024,Netflix Subscription,15.99,Entertainment,Apple Card,Expense
02/01/2024,Rent Payment,1500.00,Housing,Checking Account,Expense
02/03/2024,Restaurant XYZ,62.47,Dining Out,Capital One,Expense
02/05/2024,Insurance Payment,125.00,Insurance,Checking Account,Expense
